C,S,Chiral_Centers,Mol_Weight,Formula
C02965,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,0,260.1358,C6H13O9P
C02967,*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](n3cc(C)c(N)nc3=O)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O)O1,9,0.0,C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n
C02970,CC(C)=CCC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)(O)O,0,779.1654,C50H83O4P
C02972,*NC(=O)CCCC[C@@H](S)CCS,1,0.0,C8H16NOS2R
C02975,CCCC(=O)CC(=O)OCC,0,158.195,C8H14O3
C02977,C[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@H]1O,9,589.3417,C16H25N5O15P2
C02979,O=P(O)(O)OC(CO)CO,0,172.0737,C3H9O6P
C02980,O=C1c2ccccc2C(=O)c2c(O)cccc21,0,224.2115,C14H8O3
C02982,CC(C)CCCC(C)CCCC(C)CCCC(C)[C@H](O)C(=O)O,1,328.5298,C20H40O3
C02983,CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,1,218.2518,C12H14N2O2
C02984,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H](N)CC(=O)O)[C@H]1O,13,0.0,C14H22NO13PR2(C5H8O6PR)n
C02985,C[C@@H]1O[C@H](OP(=O)(O)O)[C@@H](O)[C@H](O)[C@@H]1O,5,244.1364,C6H13O8P
C02986,*[C@H](NC(=O)[C@H](*)NC(=O)[C@@H](N)CCC(N)=O)C(=O)O,3,0.0,C7H12N3O4R(C2H2NOR)n
C02987,*[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H](N)CCC(=O)O)[C@@H]2O)[C@H]1O,13,0.0,C20H28N6O13PR(C5H8O6PR)n
C02988,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H](N)Cc2c[nH]cn2)[C@H]1O,13,0.0,C16H24N3O11PR2(C5H8O6PR)n
C02989,CS(=O)CC[C@H](N)C(=O)O,1,165.2107,C5H11NO3S
C02990,CCCCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,1,399.6077,C23H45NO4
C02991,C[C@H](O)[C@@H]1OC(=O)[C@H](O)[C@@H]1O,4,162.1406,C6H10O5
C02992,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](OC(=O)[C@@H](N)[C@H](C)O)[C@H]1O,14,0.0,C14H24NO12PR2(C5H8O6PR)n
C02993,N=C(N)NCCC[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O,2,337.3742,C15H23N5O4
C02994,O=C1O[C@@H](CO)[C@@H](O)[C@@H]1O,3,148.114,C5H8O5
C02995,O=P(O)(O)OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,10,422.2764,C12H23O14P
C02996,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.[Na+],0,318.1305,C14H10Cl2NO2. Na
C02997,CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,1,197.1912,C8H11N3O3
C02998,*NC(C)=O,0,0.0,C2H4NOR
C02999,CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@H](C)C(=O)N[C@H](C)C(=O)O,7,364.3484,C14H24N2O9
C03000,*C(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,4,0.0,C7H12NO6R
C03001,N=C(N)NCCC[C@@H](NC(=O)c1ccccc1)C(=O)O,1,278.307,C13H18N4O3
C03002,NCCCCNC(=O)/C=C/c1ccc(O)c(O)c1,0,250.2936,C13H18N2O3
C03003,O=C(O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,5,286.2579,C12H16NO7
C03004,O=C(O)[C@H](Cc1ccc(O)cc1)NO,1,197.1879,C9H11NO4
C03005,CNc1ccccc1C(=O)O,0,151.1626,C8H9NO2
C03007,CCC(=O)n1ccnc1,0,124.1405,C6H8N2O
C03010,CC(=O)NC1C(O)C(CO)OC(OC2C(N)CC(N)C(OC3OC(CN)C(O)CC3N)C2O)C1O,0,509.5512,C20H39N5O10
C03011,*[C@H](NC(=O)[C@H](*)NC(C)=O)C(=O)O,2,0.0,C4H6NO3R(C2H2NOR)n
C03012,Oc1ccc2ccccc2c1O,0,160.1693,C10H8O2
C03015,NC(=O)OC[C@H](N)C(=O)O,1,148.1173,C4H8N2O4
C03016,*NC(=O)[C@H](COP(=O)(O)O)NC(*)=O,1,0.0,C4H7N2O6PR2
C03017,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,0,217.2622,C10H19NO4
C03018,*O[C@@H]1[C@@H](CO)OC(O)[C@H](O)[C@H]1O,4,0.0,OH(C6H10O5)n
C03019,CCCC(=O)O[C@@]12[C@H](O)[C@@H](C)[C@@]3(O)[C@@H](C=C(CO)C[C@]4(O)C(=O)C(C)=C[C@@H]34)[C@@H]1C2(C)C,8,434.5226,C24H34O7
C03021,*NC(=O)[C@H](CC(N)=O)NC(*)=O,1,0.0,C5H7N3O3R2
C03022,*NC(=O)[C@H](CCCNC(N)=O)NC(*)=O,1,0.0,C7H12N4O3R2
C03023,*NC(=O)[C@H](CCSC)NC(*)=O,1,0.0,C6H10N2O2SR2
C03027,CC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,6,330.4611,C21H30O3
C03028,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,0,505.2943,C12H20N4O10P3S
C03030,O=C(O)c1c[nH]c(=O)[nH]c1=O,0,156.0963,C5H4N2O4
C03031,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)[nH]1,4,324.1813,C9H13N2O9P
C03032,CC(=O)C1=C(O)[C@@H]2[C@H]3c4c[nH]c5cccc(c45)C[C@H]3C(C)(C)N2C1=O,3,336.3844,C20H20N2O3
C03033,*O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,5,0.0,C6H9O7R
C03034,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](C(=O)O)[C@H](O)[C@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,8,578.3125,C16H24N2O17P2
C03035,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,1027.9484,C39H64N7O17P3S
C03036,COC(=O)C1=CC(=O)C=C(OC)[C@@]12Oc1cc(C)cc(O)c1C2=O,1,330.2889,C17H14O7
C03037,CC12CC(=O)C(CC1=O)C2(C)C,0,166.217,C10H14O2
C03039,CC1=C[C@H](O)[C@@H](C(C)C)CC1,2,154.2493,C10H18O
C03040,COC(=O)C1=CC(=O)C=C(OC)[C@]12Oc1cc(C)cc(O)c1C2=O,1,330.2889,C17H14O7
C03042,CCCCCCCCCCCCCCCC[C@@H](O)C(=O)O,1,300.4766,C18H36O3
C03043,CN1CCC[C@@H]1c1ccc(O)nc1,1,178.231,C10H14N2O
C03044,C[C@@H](O)[C@@H](C)O,2,90.121,C4H10O2
C03045,CCCCCCCCCCCCCCCC[C@H](O)C(=O)O,1,300.4766,C18H36O3
C03046,C[C@H](O)[C@H](C)O,2,90.121,C4H10O2
C03047,N=C(N)NCCCCNC(=N)N,0,172.2314,C6H16N6
C03049,CCCCCCCCCC(O)CCCCCCCCCCCC(=O)O,0,356.583,C22H44O3
C03050,CC12CCC3C(CCC4CC(O)CCC43C)C1C[C@H](O)C2,1,292.4562,C19H32O2
C03051,CC12CCC(O)CC1CCC1C2CCC2(C)C1CC[C@@H]2O,1,292.4562,C19H32O2
C03052,O=C1c2c(O)cc(O)c(O)c2O[C@H](c2ccc(O)c(O)c2)C1O,1,320.251,C15H12O8
C03056,Oc1cccc(O)n1,0,111.0987,C5H5NO2
C03057,O=Cc1ccccc1C(=O)O,0,150.1314,C8H6O3
C03058,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(O)CCC(=O)O,5,897.6329,C26H42N7O20P3S
C03059,NC(CO)(CO)C(=O)O,0,135.1186,C4H9NO4
C03062,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O,4,372.2809,C15H16O11
C03063,O=C(O)CC/C=C\C(=O)C(=O)O,0,172.1354,C7H8O5
C03064,O=C(O)[C@H](O)C(=O)CO,1,134.0874,C4H6O5
C03065,N=C(N)NCCC(=O)O,0,131.1332,C4H9N3O2
C03066,N[C@H](C(=O)O)C(O)CC(=O)O,1,163.1287,C5H9NO5
C03067,O=Cc1cccc(O)c1,0,122.1213,C7H6O2
C03068,CN1C(=O)N(O)C(=O)C(C)(C2=CCCCC2)C1=O,0,252.2664,C12H16N2O4
C03069,CC(C)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,849.6347,C26H42N7O17P3S
C03070,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8,374.5567,C24H38O3
C03071,O=C(O)C/C=[N+](\[O-])O,0,119.0761,C3H5NO4
C03072,CC12CCCC1C1CCC3C[C@H](O)CCC3(C)C1CC2,1,276.4568,C19H32O
C03074,COc1ccc(-c2coc3ccccc3c2=O)cc1,0,252.2647,C16H12O3
C03076,O=C(O)Cc1ccc(Br)cc1,0,215.044,C8H7BrO2
C03077,O=C(O)Cc1ccc(Cl)cc1,0,170.593,C8H7ClO2
C03078,N=C(N)NCCCC(N)=O,0,144.175,C5H12N4O
C03079,N[C@@H](CC(O)C(=O)O)C(=O)O,1,163.1287,C5H9NO5
C03080,CC(C(=O)O)c1ccc(O)cc1,0,166.1739,C9H10O3
C03081,Cc1cc(=O)oc2cc(O)ccc12,0,176.1687,C10H8O3
C03082,N[C@@H](CC(=O)OP(=O)(O)O)C(=O)O,1,213.0826,C4H8NO7P
C03083,*C(=O)Nc1ccc(*)cc1,0,0.0,C7H5NOR2
C03084,*c1ccc(N)cc1,0,0.0,C6H6NR
C03085,*C(=O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]cnc32)[C@H](O)[C@@H]1O,4,0.0,C11H12N4O9PR
C03086,*C(=O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(=O)[nH]c32)[C@H](O)[C@@H]1O,4,0.0,C11H12N4O10PR
C03087,CC(=O)NCCCCC(=O)O,0,159.183,C7H13NO3
C03088,O=c1[nH]cc(CO)c(=O)[nH]1,0,142.1127,C5H6N2O3
C03089,CSC[C@H]1OC(O)[C@H](O)[C@@H]1O,3,180.2221,C6H12O4S
C03090,N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,4,229.125,C5H12NO7P
C03091,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8,386.6535,C27H46O
C03092,CC1(C)OC2(C)CCC1C[C@@H]2O,1,170.2487,C10H18O2
C03093,O=c1ccc2ccc(O)c(O)c2o1,0,178.1415,C9H6O4
C03095,*C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,1,0.0,C7H8N3O3R
C03097,OC[C@H]1O[C@@H](Oc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,5,256.2518,C12H16O6
C03098,S=C=NCc1ccccc1,0,149.2129,C8H7NS
C03104,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2OP(=O)(O)O)c(=O)n1,4,323.1965,C9H14N3O8P
C03105,*NC(=O)[C@H](CCCCN)NC(*)=O,1,0.0,C7H13N3O2R2
C03107,O=C1O[C@H](C(O)CO)[C@H](O)[C@H]1O,3,178.14,C6H10O6
C03108,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,7,461.6325,C24H47NO7
C03109,O=C[C@@H](O)[C@H](O)COP(=O)(O)O,2,200.0838,C4H9O7P
C03110,*[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O[C@H]2C[C@H](n3ccc(NC)nc3=O)O[C@@H]2COP(=O)(O)O[C@H]2C[C@H](*)O[C@@H]2COP(=O)(O)O)O1,9,0.0,C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n
C03112,N[C@H](CCCC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CO)CS[C@H]12)C(=O)O,3,373.3816,C14H19N3O7S
C03113,CC(C)OP(=O)(O)OC(C)C,0,182.1547,C6H15O4P
C03114,Cc1cc2nc[nH]c2cc1C,0,146.1891,C9H10N2
C03115,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)OP(=O)(O)O,0,462.306,C15H29O10P3
C03117,C[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,9,589.3417,C16H25N5O15P2
C03120,*OP(=O)(O)OC[C@H](O)CO,1,0.0,C3H8O6PR
C03122,,0,77.1039,C6H5X
C03124,N[C@@H](CC(=O)NO)C(=O)O,1,148.1173,C4H8N2O4
C03125,*[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H](N)CS)[C@@H]2O)[C@H]1O,13,0.0,C18H26N6O11PSR(C5H8O6PR)n
C03126,O=C(O)[C@@H]1OC(O)[C@H](OS(=O)(=O)O)[C@@H](O)[C@@H]1O,4,274.2026,C6H10O10S
C03127,*[C@@H]1O[C@H](CO)[C@@H](OP(=O)(O)OC[C@H]2O[C@@H](*)[C@H](O)[C@@H]2OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](OC(=O)[C@@H](N)[C@@H](C)CC)[C@@H]2O)[C@H]1O,14,0.0,C21H32N6O11PR(C5H8O6PR)n
C03129,*CCCCC(=O)[O-],0,0.0,C3H4O2R(C2H4)n
C03130,*O,0,0.0,HOR
C03134,CN(C)C=O,0,73.0938,C3H7NO
C03135,*[C@@H](NC(C)=O)C(=O)O,1,0.0,C4H6NO3R
C03136,CC(=O)NC1C(O)O[C@H](CO)C(O)C1O,1,221.2078,C8H15NO6
C03137,CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,1,246.2619,C13H14N2O3
C03139,N=C(N)N[C@@H](CC(=O)O)C(=O)O,1,175.1427,C5H9N3O4
C03140,N=C(N)N[C@@H](CCC(=O)O)C(=O)O,1,189.1692,C6H11N3O4
C03141,O=C(Nc1ccccc1C(=O)O)c1ccccc1,0,241.242,C14H11NO3
C03142,OC[C@H]1O[C@@H](Nc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,5,255.2671,C12H17NO5
C03145,CSCC[C@H](NC=O)C(=O)O,1,177.2214,C6H11NO3S
C03146,O=C(CO)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,5,237.2072,C8H15NO7
C03147,O=C(O)CC(=O)Nc1ccccc1C(=O)O,0,223.1822,C10H9NO5
C03148,*[C@H](NC)C(=O)O,1,0.0,C3H6NO2R
C03149,N=C(NCCS(=O)(=O)O)NP(=O)(O)O,0,247.1668,C3H10N3O6PS
C03150,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,4,255.2472,C11H15N2O5
C03151,*C(=O)NC(CCCNC(=N)N)C(=O)CCl,0,0.0,C8H14ClN4O2R
C03152,*C(=O)NC(CCCCN)C(=O)CCl,0,0.0,C8H14ClN2O2R
C03153,CNC(=O)CC[C@H](N)C(=O)O,1,160.1711,C6H12N2O3
C03154,CC(=O)NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O,15,525.5506,C20H39N5O11
C03156,COc1cc(/C=C/C(=O)O[C@@H](C(=O)O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O)ccc1O,4,386.3075,C16H18O11
C03160,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)O,5,971.7129,C32H44N7O20P3S
C03164,Oc1ccc2ccc3ccccc3c2c1O,0,210.228,C14H10O2
C03166,N=C(NCC(=O)O)NP(=O)(O)O,0,197.0865,C3H8N3O5P
C03167,O=CCP(=O)(O)O,0,124.0325,C2H5O4P
C03168,*O[C@H]1O[C@H](CO)[C@H](O*)[C@H](O)[C@H]1N,5,0.0,(C6H11NO5)n
C03169,OC[C@H]1O[C@@H]([n+]2cccnc2)[C@H](O)[C@@H]1O,4,213.2105,C9H13N2O4
C03170,N[C@@H](CCC(=O)N[C@H]1CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)NCCCNCCCCNC(=O)CNC1=O)C(=O)O,4,721.8464,C27H47N9O10S2
C03172,C[S+](C)CC[C@H](N)C(=O)O,1,164.2459,C6H14NO2S
C03173,CSCC(=O)O,0,106.1435,C3H6O2S
C03174,N[C@@H](CCC(=O)N[C@@H](CSC(=O)CCC(=O)O)C(=O)NCC(=O)O)C(=O)O,2,407.3962,C14H21N3O9S
C03175,O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)C1,3,254.1312,C7H11O8P
C03176,CC12CCCC1C1CCC3CC(OO)CCC3(C)C1CC2,0,292.4562,C19H32O2
C03177,N[C@H]1[C@H](O)[C@@H](N)[C@H](O)[C@@H](OP(=O)(O)O)[C@@H]1O,6,258.1663,C6H15N2O7P
C03178,Oc1nc(O)c2nc(O)c(O)nc2n1,0,196.1204,C6H4N4O4
C03183,CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)O,3,573.638,C28H39N5O8
C03184,C=CC1=C(C)C2=N/C1=C\c1c(C)c(C=C)c3n1[Zn]n1/c(c(C)c(CCC(=O)O)/c1=C/C1=N/C(=C\3)C(C)=C1CCC(=O)O)=C\2,0,626.0513,C34H32N4O4Zn
C03187,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)O2)c(=O)[nH]c1=O,8,548.3296,C16H26N2O15P2
C03188,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O,5,0.0,C23H36N7O19P3S(CH2)n
C03189,O=P(O)(O)OCC(O)CO,0,172.0737,C3H9O6P
C03190,CC1(C)C2CCC1(C)[C@@H](OP(=O)(O)OP(=O)(O)O)C2,1,314.2091,C10H20O7P2
C03193,*[C@H](NC(=O)[C@H](*)NC(=O)CC[C@H](N)C(=O)O)C(=O)O,3,0.0,C7H11N2O5R(C2H2NOR)n
C03194,C[C@@H](O)CN,1,75.1097,C3H9NO
C03195,CCCCCCCC[C@@H](O)CCCCCCCCC(=O)O,1,300.4766,C18H36O3
C03196,O=C(O)CC[C@H](O)C(=O)O,1,148.114,C5H8O5
C03197,C[C@H](O)CC(=O)O,1,104.1045,C4H8O3
C03198,O=C(O)[C@@H](O)c1ccc(O)cc1,1,168.1467,C8H8O4
C03199,CCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCC,1,400.5925,C23H44O5
C03200,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](O)O[C@H](CO)[C@H]3O)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,15,0.0,C12H22O10(C6H10O6)n
C03201,*OC[C@H](CO)OC(*)=O,1,0.0,C4H6O4R2
C03203,O=C(O)c1ccc2ccccc2c1O,0,188.1794,C11H8O3
C03204,Nc1nc2c(c(=O)[nH]1)N=C(CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,1,471.4234,C20H21N7O7
C03205,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,6,330.4611,C21H30O3
C03206,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3=C(C[C@@H]12)[C@](C)(O)c1cccc(O)c1C3=O,4,442.4187,C22H22N2O8
C03207,CC(=O)C1=CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,5,312.4458,C21H28O2
C03209,Oc1ccccc1-c1ccccc1O,0,186.2066,C12H10O2
C03210,CC(NC(C)C(=O)O)C(=O)O,0,161.1558,C6H11NO4
C03212,O=c1nc2[nH]ccnc-2c(=O)[nH]1,0,164.1216,C6H4N4O2
C03214,CC(=O)C(N)C(=O)O,0,117.1033,C4H7NO3
C03215,O=C(O)[C@@](O)(CO)[C@H](O)[C@H](O)CO,3,196.1553,C6H12O7
C03217,O=C(O)CCC(=O)C(O)C(=O)O,0,176.1241,C6H8O6
C03218,CNc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,4,296.2825,C11H16N6O4
C03219,CC(C)/C=N/O,0,87.1204,C4H9NO
C03220,CC(C)=CCC/C(C)=C/CC/C(C)=C\CO,0,222.3663,C15H26O
C03221,CCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,5,947.8207,C33H56N7O17P3S
C03223,O=C(O)c1ccc(O)c(O)c1C(=O)O,0,198.1296,C8H6O6
C03224,N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,1,338.9807,C9H9Br2NO3
C03225,N[C@@H](Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1)C(=O)O,1,271.1837,C9H9N3O7
C03226,COC1=C(O)C(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O,0,781.1999,C53H80O4
C03227,Nc1c(O)cccc1C(=O)C[C@H](N)C(=O)O,1,224.2133,C10H12N2O4
C03228,O=C1CCCC(O)C1,0,114.1424,C6H10O2
C03230,O=CC(O)c1c[nH]c2ccccc12,0,175.184,C10H9NO2
C03231,C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)CC(=O)O,5,893.6442,C27H42N7O19P3S
C03232,O=C(O)C(=O)COP(=O)(O)O,0,184.0414,C3H5O7P
C03233,O=C(O)c1cc(O)c(O)cc1C(=O)O,0,198.1296,C8H6O6
C03235,O=C(O)COc1ccc(O)cc1,0,168.1467,C8H8O4
C03236,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O,8,0.0,C10H18O13P2R2
C03237,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCO,5,867.6499,C26H44N7O18P3S
C03238,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8,386.6535,C27H46O
C03239,NCCCCC(=O)C(=O)O,0,145.1564,C6H11NO3
C03240,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@@H](C)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,10,386.5228,C21H38O6
C03241,O=C1CCCCC(O)O1,0,130.1418,C6H10O3
C03242,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,0,306.4828,C20H34O2
C03243,O=C1C(=O)c2ccccc2-c2ccccc21,0,208.2121,C14H8O2
C03246,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1OP(=O)(O)O,8,639.2956,C15H24N5O17P3
C03248,O=C(O)C#CC(=O)O,0,114.0563,C4H2O4
C03251,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,4,260.1358,C6H13O9P
C03254,*OP(=O)(O*)Oc1ccccc1,0,0.0,C6H5O4PR2
C03256,NC[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)OCc3ccccc3)cc2)CC1,2,395.4914,C24H29NO4
C03263,Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2,0,660.7566,C36H44N4O8
C03264,CC(C)C[C@@H](O)C(=O)O,1,132.1577,C6H12O3
C03267,O=P(O)(O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,4,260.1358,C6H13O9P
