C,S,Chiral_Centers,Mol_Weight,Formula
C00046,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O)[C@@H](O)[C@H]1O,12,0.0,C10H18O13P2R2(C5H8O6PR)n
C00047,NCCCC[C@H](N)C(=O)O,1,146.1876,C6H14N2O2
C00048,O=CC(=O)O,0,74.0355,C2H2O3
C00049,N[C@@H](CC(=O)O)C(=O)O,1,133.1027,C4H7NO4
C00051,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,2,307.3235,C10H17N3O6S
C00052,O=c1ccn(C2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,8,566.3018,C15H24N2O17P2
C00053,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O,4,507.2643,C10H15N5O13P2S
C00054,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O,4,427.2011,C10H15N5O10P2
C00055,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,4,323.1965,C9H14N3O8P
C00058,O=CO,0,46.0254,CH2O2
C00059,O=S(=O)(O)O,0,98.0785,H2SO4
C00060,*C(=O)[O-],0,0.0,CO2R
C00061,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C,3,456.3438,C17H21N4O9P
C00062,N=C(N)NCCC[C@H](N)C(=O)O,1,174.201,C6H14N4O2
C00063,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,4,483.1563,C9H16N3O14P3
C00064,NC(=O)CC[C@H](N)C(=O)O,1,146.1445,C5H10N2O3
C00065,N[C@@H](CO)C(=O)O,1,105.0926,C3H7NO3
C00066,*[C@@H]1O[C@H](COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)(O)O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O,12,0.0,C10H17O10PR2(C5H8O6PR)n
C00067,C=O,0,30.026,CH2O
C00068,Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,0,425.3144,C12H19N4O7P2S
C00069,*O,0,0.0,HOR
C00070,[Cu],0,63.546,Cu
C00071,*C=O,0,0.0,CHOR
C00072,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,2,176.1241,C6H8O6
C00073,CSCC[C@H](N)C(=O)O,1,149.2113,C5H11NO2S
C00074,C=C(OP(=O)(O)O)C(=O)O,0,168.042,C3H5O6P
